topic,problem_statement,solution,correct option
Optimization of actions and planning,"You have an electric car that can travel up to 100 miles on a full charge. You need to reach a destination that is 250 miles away, and there are three charging stations on the way. The first is located 70 miles from the starting point, the second is 140 miles from the start (70 miles from the first), and the third is 210 miles from the start (70 miles from the second). Charging at each station takes 30 minutes, regardless of the amount of charge required. Assuming your car starts with a full charge and you wish to spend the least amount of time possible charging, how should you plan your stops to charge the car and what would be the total charging time?","Step‐by‐step reasoning:

1.   The car’s maximum range on a full charge is 100 mi, and the total trip is 250 mi.  
2.   The charging stations are at 70, 140, and 210 mi from the start.  
3.   From the start (0 mi) you cannot reach the 140 mi station without stopping (you only have 100 mi of range), so you must stop at the 70 mi station first.  
4.   Once charged at 70 mi, you again have 100 mi of range and can drive as far as 170 mi—but neither the 210 mi station nor the 250 mi destination is within 100 mi, so you must stop again.  
5.   The only station you can reach from mile 70 is the one at mile 140, so you must stop there a second time.  
6.   After charging at 140 mi you have 100 mi of range and can go up to mile 240, but that still short of the 250 mi goal, so you must make a third stop at the 210 mi station.  
7.   In other words, you cannot make it on fewer than three charging stops (at miles 70, 140, and 210).  
8.   Each stop takes 30 minutes of charging time, so total charging time = 3 × 30 min = 90 minutes.  
9.   None of options (1)–(4) gives 90 minutes, so the correct choice is “Another answer.”

CORRECT ANSWER: 5",5
Spatial reasoning,"You are in a room with four doors, each leading to a path that goes in one of the four cardinal directions: North, East, South, and West. Each door has a unique puzzle lock that requires you to place a set of shapes into the correct sequence to open the door. The North door requires a square, circle, and triangle in sequence; the East door requires a square, square, and circle; the South door wants a triangle, square, and circle; and the West door requires a circle, triangle, and square. You have a hint that says 'I open when the first shape is unique and the last is common among those not taken.' Which door should you choose?","Step-by-step reasoning:

1. List each door’s lock-sequence of shapes (in order):  
   North  = Square, Circle, Triangle  
   East   = Square, Square, Circle  
   South  = Triangle, Square, Circle  
   West   = Circle, Triangle, Square  

2. “The first shape is unique.”  
   – Look at each door’s first shape:  
     • North  → Square  
     • East   → Square  
     • South  → Triangle  
     • West   → Circle  
   – Square appears twice as a first shape, but Triangle and Circle each appear only once.  
   – So only the South and the West doors satisfy “first shape is unique.”

3. “The last is common among those not taken.”  
   – We interpret “those not taken” as the other (unchosen) doors.  
   – Check South door (Triangle, Square, Circle): its last shape is Circle.  
     • The other three doors end in Triangle (North), Circle (East), and Square (West).  
     • Circle does appear among those other‐doors’ last shapes.  
   – Check West door (Circle, Triangle, Square): its last shape is Square.  
     • The other three doors end in Triangle, Circle, and Circle.  
     • Square does not appear among those other‐doors’ last shapes.  

4. Only the South door has a first shape that’s unique (Triangle) and a last shape (Circle) that also appears as a last shape on one of the other doors.  

Therefore, you should pick the South door.

CORRECT ANSWER: 3",3
Operation of mechanisms,"In a room, there are three machines. Each machine has two modes: blue mode and red mode. Machine 1 changes its color every 3 minutes, Machine 2 changes its color every 4 minutes, and Machine 3 changes its color every 5 minutes. If all machines start in the blue mode, how many minutes will pass before all machines show red for the first time simultaneously?","Step 1: Model each machine as “toggling” (blue↔red) every Ti minutes, so its color-cycle period is 2·Ti minutes and it is red exactly when its time-since-start modulo 2Ti lies in [Ti, 2Ti).

– Machine 1: toggles every 3 min ⇒ period 6 min; red when t mod 6 ∈ {3,4,5}.  
– Machine 2: toggles every 4 min ⇒ period 8 min; red when t mod 8 ∈ {4,5,6,7}.  
– Machine 3: toggles every 5 min ⇒ period 10 min; red when t mod 10 ∈ {5,6,7,8,9}.  

Step 2: Search for the smallest positive integer t satisfying all three red‐interval conditions simultaneously.

– Check t=5:  
  • 5 mod 6 = 5 ⇒ M1 is red  
  • 5 mod 8 = 5 ⇒ M2 is red  
  • 5 mod 10= 5 ⇒ M3 is red  

No smaller t>0 works. Thus the first time they are all red together is at t = 5 minutes.

Since “5 minutes” is not among options 1–4, the correct choice is option 5 (“Another answer”).

CORRECT ANSWER: 5",5
Spatial reasoning,"Imagine a cube that has a number from 1 to 6 on each face, much like a die. If the cube is rolled on the table and only the numbers on the vertical faces are added, the sum is always 14. The cube is now thrown and lands with the number 3 facing up. What is the number on the bottom face?","1. Let the numbers on the six faces be 1,2,3,4,5,6 (sum = 21).  
2. Whenever the cube rests on one face (the bottom) with another face up (the top), there are four vertical faces. By the problem statement, the sum of those four side‐faces is always 14.  
3. But sum of all six faces = top + bottom + sum of four sides = 21.  
4. Hence for any orientation: top + bottom + 14 = 21 ⇒ top + bottom = 7.  
5. Now the cube lands with 3 on top. Therefore the bottom face must be 7 − 3 = 4.  

CORRECT ANSWER: 3",3
Sequence solving,"You come across three sequences which follow a specific pattern. The sequences are as follows: 
Sequence A: 2, 12, 36, 80, 150
Sequence B: 3, 24, 60, 120, 210
Sequence C: 5, 35, ?, 175, 275
Find the missing number in Sequence C.","Here is a systematic way to see that none of the four integer choices can work, and in fact the “true” third term of C comes out to a non‐integer.

1.  Observe that both Sequence A and Sequence B are perfectly fitted by a cubic in n (with n=1,2,3,4,5 indexing the five terms).  
    - For A we find Aₙ = 2n³ + 2n².  
    - For B we find Bₙ = (3/2)n³ – (3/2)n² + 15n – 12.  
2.  By the same token, assume Cₙ is a cubic an³+bn²+cn+d.  Plugging in  
       C₁=5,  C₂=35,  C₄=175,  C₅=275  
    one solves for a,b,c,d and then computes  
       C₃ = a·3³ + b·3² + c·3 + d  
    explicitly.  
3.  The algebra yields  
       C₃ = 280/3 ≃ 93.333…  
    which is not 66, 81, 96, or 102.  

Since the “correct” cubic‐polynomial prediction is 280/3 (≈93.33) and that does not match any of options 1–4, the answer must be

CORRECT ANSWER: 5",5
Lateral thinking,"In a small village, there is a bizarre rule: Every family must have a pet, but no two neighbors can have the same kind of pet. One day, a tourist comes to the village and visits four neighboring houses in a row. Each house's pet is mentioned as follows: The first house has a dog, the second keeps a cat, the third has a parrot, and the fourth mentions they have one too. Knowing that the rule is strictly followed and the tourist misunderstood only one of the pet descriptions, which house has a different pet, and what is it?","Reasoning:

1.  The village rule is that no two ADJACENT houses may keep the same kind of pet—but non‐adjacent houses may repeat.  
2.  The tourist hears in turn:  
    – House 1: “We have a dog.”  
    – House 2: “We keep a cat.”  
    – House 3: “We have a parrot.”  
    – House 4: “We have one, too.”  
3.  The only way the fourth family’s throwaway “one, too” makes sense is if they were in fact echoing one of the earlier pets (not introducing a new species).  
4.  They cannot be echoing the parrot (that would conflict with house 3, their immediate neighbor), so they must be echoing the cat from house 2 (house 4 and house 2 are not neighbors, so both can keep cats).  
5.  The tourist misunderstood that throw-away line “one, too” – in fact they said “cat, too.” So the fourth house also has a cat.  
6.  No other description need be wrong; the only misheard line is the fourth family’s.  

Conclusion: the tourist’s sole mistake was at the fourth house, which actually also keeps a cat.  Since none of options 1–4 matches “fourth house with a cat,” the correct choice is option 5 (another answer).

CORRECT ANSWER: 5",5
Optimization of actions and planning,"In a new game, you have been given the task to collect as many apples as possible. There are three types of trees in the orchard you are in, each with different productivity. The first type has trees that each yield 2 apples per minute, the second type has trees yielding 4 apples per minute, and the third type yields 8 apples per minute. However, you can only collect from one tree at a time and it takes 5 minutes to move from one tree to another, regardless of type. You have 30 minutes before the game ends. Which trees should you choose to collect from and in what order to maximize the number of apples?","1. Reasoning step‐by‐step  
  a. Let r₁=2, r₂=4, r₃=8 be the rates (apples/min) for tree types 1,2,3.  
  b. If you visit k distinct trees you incur (k–1) moves and thus lose 5·(k–1) minutes to travel.  
  c. If you spend tᵢ minutes collecting at tree i, the total time constraint is  
       Σ tᵢ  +  5·(k–1)  ≤ 30.  
     Your total apples = Σ rᵢ·tᵢ.  
  d. Because r₃ is the highest rate (8 apples/min) and every extra move costs 5 minutes you never want to move off a type-3 tree to a slower one.  In fact the best is to do zero moves (k=1) and stay on a type-3 tree for the full 30 minutes.  
  e. That yields 8 apples/min × 30 min = 240 apples.  
  f. All four listed options either use slower trees or incur moves (thus losing time) and produce strictly fewer than 240 apples (the best among them is option 3 with 220 apples).  

2. Correct answer  
Since the optimal is “stay on a type-3 tree for all 30 minutes” (not among choices 1–4), we choose option 5.  

CORRECT ANSWER: 5",5
Logical traps,"You are presented with two boxes, Box A and Box B. One box contains a reward, and the other contains nothing. There is a statement written on each box. Box A says 'The reward is in this box.' Box B says 'The reward is not in Box A.' Only one of these statements is true. Which box contains the reward?","Here’s the step‐by‐step analysis:

1. Let R=A mean “the reward is in Box A,” and R=B mean “the reward is in Box B.”  
2. Box A’s statement is “R=A.”  
3. Box B’s statement is “¬(R=A),” which is equivalent to “R=B.”  
4. We are told exactly one statement is true, and one is false.

Case 1: Assume R=A.  
- Then Box A’s statement (“R=A”) is true.  
- Box B’s statement (“R=B”) is false (since the reward is in A, not B).  
Result: exactly one true, one false → consistent.

Case 2: Assume R=B.  
- Then Box A’s statement (“R=A”) is false.  
- Box B’s statement (“R=B”) is true.  
Result: exactly one true, one false → also consistent.

Since both placements (in A or in B) satisfy the rule “exactly one statement is true,” the puzzle does not single out a unique box. The information given is insufficient to determine which box actually contains the reward.

CORRECT ANSWER: 5",5
Operation of mechanisms,"You are given a system with two gears connected to each other. Gear A has 24 teeth and gear B has 48 teeth. Gear A is connected to a motor that spins it at a rate of 20 revolutions per minute (RPM). There is also a small display attached to gear B, which shows the total number of revolutions made by gear B. If both gears start from a standstill, after how many revolutions of gear A will the display show an even number of revolutions for gear B?","1. Compute the gear ratio.  
   – Gear A has 24 teeth, gear B has 48.  
   – When A makes one full turn, its 24 teeth engage 24 teeth worth of B.  
   – So B turns 24/48 = 1/2 revolution for each revolution of A.  

2. Let NA = number of revolutions of A, NB = number of revolutions of B.  
   – From the ratio, NB = (1/2)·NA.  

3. We want NB to be an even integer.  
   – NB = NA/2 must be an integer → NA must be even.  
   – NB must be even → NA/2 is even → NA is a multiple of 4.  

4. The smallest positive NA that makes NB even is NA = 4.  
   – Then NB = 4/2 = 2, which is even.  

Therefore the display will first show an even number of revolutions on B after gear A has turned 4 times.

CORRECT ANSWER: 3",3
Classic riddles,"I can be cracked, made, told, and played. What am I?","Step-by-Step Reasoning:

1. “Cracked”  
   - You commonly hear “crack a joke.”

2. “Made”  
   - People say “make a joke.”

3. “Told”  
   - It’s natural to “tell a joke.”

4. “Played”  
   - You can “play a joke” on someone.

Check the other options:
- A safe: you “crack a safe,” but you don’t normally “tell” or “play” a safe.
- A code: you “crack a code,” “make a code,” but you don’t usually “tell a code” or “play a code.”
- A puzzle: you “crack a puzzle” and “make a puzzle,” but “tell a puzzle” or “play a puzzle” are much less idiomatic.
- No other answer fits all four actions as neatly as “joke.”

CORRECT ANSWER: 2",2
